data,godzina,typ,ml,piers_lewa_min,piers_prawa_min
2026-08-23,19:18,PIELUCHA_BRUDNA,0
2026-08-23,22:17,KARMIENIE,0,15,15
2026-08-24,02:21,KARMIENIE,0,15,15
2026-08-24,02:21,MLEKO_MATKI,30
2026-08-24,05:10,KARMIENIE,0,10,10
2026-08-24,06:49,KARMIENIE,0,0,0
2026-08-24,09:54,KARMIENIE,0,0,0
2026-08-24,09:54,MLEKO_MATKI,30
2026-08-24,11:35,KARMIENIE,0,0,0
2026-08-24,13:28,KARMIENIE,0,0,0
2026-08-24,14:31,KARMIENIE,0,0,0
2026-08-24,14:31,MLEKO_MODYFIKOWANE,30
2026-08-24,15:22,KARMIENIE,0,0,0
2026-08-24,19:19,KARMIENIE,0,0,0
2026-08-24,22:37,KARMIENIE,0,15,15
2026-08-25,02:40,KARMIENIE,0,0,0
2026-08-25,04:53,KARMIENIE,0,0,0
2026-08-25,06:49,KARMIENIE,0,0,0
2026-08-25,06:49,MLEKO_MATKI,40
2026-08-25,10:17,KARMIENIE,0,0,0
2026-08-25,14:22,KARMIENIE,0,0,0
2026-08-25,16:29,KARMIENIE,0,0,0
2026-08-25,16:29,MLEKO_MATKI,30
2026-08-25,19:04,KARMIENIE,0,0,0
2026-08-25,23:19,KARMIENIE,0,0,0
2026-08-26,02:40,KARMIENIE,0,20,20
2026-08-26,04:21,KARMIENIE,0,15,15
2026-08-26,06:31,KARMIENIE,0,15,15
2026-08-26,06:32,KARMIENIE,0,15,10
2026-08-26,08:19,KARMIENIE,0,15,15
2026-08-26,08:19,MLEKO_MATKI,40
2026-08-26,10:41,KARMIENIE,0,15,15
2026-08-26,14:31,KARMIENIE,0,0,0
2026-08-26,14:31,MLEKO_MATKI,84
2026-08-26,16:32,KARMIENIE,0,15,15
2026-08-26,20:48,KARMIENIE,0,15,10
2026-08-27,00:42,KARMIENIE,0,0,0
2026-08-27,00:42,MLEKO_MATKI,30
2026-08-27,05:09,KARMIENIE,0,20,10
2026-08-27,10:59,KARMIENIE,0,10,10
2026-08-27,12:50,KARMIENIE,0,5,5
2026-08-27,12:50,MLEKO_MODYFIKOWANE,40
2026-08-27,14:30,KARMIENIE,0,0,0
2026-08-27,16:30,KARMIENIE,0,0,0
2026-08-27,19:39,KARMIENIE,0,20,20
2026-08-27,19:39,MLEKO_MODYFIKOWANE,43
2026-08-27,23:40,KARMIENIE,0,20,20
2026-08-28,02:49,KARMIENIE,0,0,0
2026-08-28,05:38,KARMIENIE,0,0,0
2026-08-28,07:20,KARMIENIE,0,0,0
2026-08-28,07:20,MLEKO_MATKI,49
2026-08-28,09:52,KARMIENIE,0,0,0
2026-08-28,13:10,KARMIENIE,0,0,0
2026-08-28,13:10,MLEKO_MATKI,50
2026-08-28,17:11,KARMIENIE,0,0,0
2026-08-28,19:38,KARMIENIE,0,0,0
2026-08-29,00:03,KARMIENIE,0,0,0
2026-08-29,02:20,KARMIENIE,0,0,0
2026-08-29,05:00,KARMIENIE,0,0,0
2026-08-29,07:10,KARMIENIE,0,0,0
2026-08-29,07:10,MLEKO_MATKI,45
